OTD_ID,Title,Severity,Playbook_IDs,Routing,Has_Playbook
OTD-0026,Unauthorized wireless/cellular modem access,Medium,PLAYBOOK-OT-08,explicit,Yes
OTD-0027,PLC operating mode change to Program/Remote,High,PLAYBOOK-OT-03,explicit,Yes
OTD-0028,Unsigned/downgrade firmware load,High,PLAYBOOK-OT-03;PLAYBOOK-OT-05,explicit,Yes
OTD-0029,Control-to-safety write/command,critical,PLAYBOOK-OT-05,family,Yes
OTD-0030,New comms path into SIS zone,high,PLAYBOOK-OT-05,family,Yes
OTD-0031,Reversed data direction at boundary,high,,none,No
OTD-0032,SIS traffic bypassing sanctioned gateway,high,PLAYBOOK-OT-05,family,Yes
OTD-0033,SIS program download,critical,PLAYBOOK-OT-05,family,Yes
OTD-0034,SIS program upload,high,PLAYBOOK-OT-05,family,Yes
OTD-0035,Key-switch/mode to PROGRAM/REMOTE,critical,PLAYBOOK-OT-03,family,Yes
OTD-0036,SIS logic differs from golden baseline,critical,PLAYBOOK-OT-05,family,Yes
OTD-0037,SIS firmware change,critical,PLAYBOOK-OT-05,family,Yes
OTD-0038,SIS engineering off-window/new host,high,PLAYBOOK-OT-05,family,Yes
OTD-0039,Safety PV trending toward trip,high,PLAYBOOK-OT-05,family,Yes
OTD-0040,Trip setpoint/safety parameter modification,critical,PLAYBOOK-OT-05,family,Yes
OTD-0041,Unexpected SIF trip/demand,high,PLAYBOOK-OT-05,family,Yes
OTD-0042,Expected trip absent/alarm suppression,critical,PLAYBOOK-OT-05,family,Yes
OTD-0043,Final-element command-response mismatch,critical,PLAYBOOK-OT-05,family,Yes
OTD-0044,De-energize-to-trip circuit anomaly,high,PLAYBOOK-OT-05,family,Yes
OTD-0045,Voting degradation,high,PLAYBOOK-OT-05,family,Yes
OTD-0046,Redundant safety-sensor disagreement,high,PLAYBOOK-OT-05,family,Yes
OTD-0047,Frozen/replayed safety input,high,PLAYBOOK-OT-05,family,Yes
OTD-0048,Loss of independence (shared/BPCS input),high,PLAYBOOK-OT-05,family,Yes
OTD-0049,Safety input bad-quality spike,medium,PLAYBOOK-OT-05,family,Yes
OTD-0050,SIF bypass/inhibit activated,high,PLAYBOOK-OT-05,family,Yes
OTD-0051,Long-duration/overdue bypass,high,PLAYBOOK-OT-05,family,Yes
OTD-0052,Bypass from unexpected source/off-window,high,PLAYBOOK-OT-05,family,Yes
OTD-0053,Forced I/O on safety controller,critical,PLAYBOOK-OT-05,family,Yes
OTD-0054,Multiple simultaneous bypasses,critical,PLAYBOOK-OT-05,family,Yes
OTD-0055,SIS-BPCS comm loss (loss of view),high,PLAYBOOK-OT-05,family,Yes
OTD-0056,SIS diagnostic fault/degraded module,high,PLAYBOOK-OT-05,family,Yes
OTD-0057,Spurious trip-rate anomaly,medium,PLAYBOOK-OT-05,family,Yes
OTD-0058,SIS controller restart/power event,high,PLAYBOOK-OT-05,family,Yes
OTD-0059,SIS time/clock skew,medium,PLAYBOOK-OT-05,family,Yes
OTD-0060,Modbus Exception Response Flood (Possible Scanning or Fuzzing),medium,PLAYBOOK-OT-07,family,Yes
OTD-0061,Modbus Write to Coil/Register Outside Approved Change Window,medium,PLAYBOOK-OT-01,family,Yes
OTD-0062,DNP3 Direct Operate Without Preceding Select (Bypass of Select-Before-Operate),high,PLAYBOOK-OT-05,family,Yes
OTD-0063,DNP3 CROB Control Command Outside Maintenance Window,medium,PLAYBOOK-OT-07,family,Yes
OTD-0064,OPC UA Untrusted or Self-Signed Certificate Accepted,high,PLAYBOOK-OT-05,family,Yes
OTD-0065,OPC UA Write Request to Critical Node from Unauthorized Client,high,PLAYBOOK-OT-07,family,Yes
OTD-0066,OPC UA Address Space Browse Flood (Reconnaissance),medium,PLAYBOOK-OT-05,family,Yes
OTD-0067,S7comm Program Block Download/Upload Outside Change Window,high,PLAYBOOK-OT-03,family,Yes
OTD-0068,S7comm System Status List (SZL) Enumeration,medium,PLAYBOOK-OT-03,family,Yes
OTD-0069,IEC 60870-5-104 General Interrogation from Unauthorized Master,high,PLAYBOOK-OT-07,family,Yes
OTD-0070,IEC 60870-5-104 Single or Double Command Outside Maintenance Window,medium,PLAYBOOK-OT-07,family,Yes
OTD-0071,IEC 60870-5-104 Clock Synchronization Command Anomaly,low,PLAYBOOK-OT-07,family,Yes
OTD-0072,Engineering Workstation Communicating with Multiple PLCs Across Zones,high,PLAYBOOK-OT-01,family,Yes
OTD-0073,New or Unauthorized Asset Communicating on OT Engineering Protocol Port,medium,PLAYBOOK-OT-01,family,Yes
OTD-0074,DNP3 Cold or Warm Restart Function to Outstation,high,PLAYBOOK-OT-07,family,Yes
OTD-0075,IEC 60870-5-104 Control Command from Unauthorized Source,high,PLAYBOOK-OT-07,family,Yes
OTD-0076,Modbus FC08 Diagnostic Restart or Force Listen-Only Mode,high,PLAYBOOK-OT-07,family,Yes
OTD-0077,Unauthorized Modbus Write to Coils or Registers,high,PLAYBOOK-OT-01,family,Yes
OTD-0078,Active Network Scan of OT Subnet,medium,PLAYBOOK-OT-01,family,Yes
OTD-0079,S7comm STOP CPU Command to PLC,high,PLAYBOOK-OT-01,family,Yes
OTD-0080,Direct IT-to-OT-DMZ Connection Bypassing Jump Host,high,PLAYBOOK-OT-05,family,Yes
OTD-0081,Unauthorized Lateral-Movement Protocol Entering OT DMZ,high,PLAYBOOK-OT-05,family,Yes
OTD-0082,OT DMZ Historian Replication Direction Anomaly,high,PLAYBOOK-OT-01,family,Yes
OTD-0083,AV/Patch Management Push to DMZ Outside Maintenance Window or Scope,medium,PLAYBOOK-OT-09,family,Yes
OTD-0084,OT DMZ Asset External DNS or NTP Resolution Attempt,medium,,none,No
OTD-0085,Web or Email Content Landing on OT DMZ Jump Host,critical,PLAYBOOK-OT-06,family,Yes
OTD-0086,Remote Access Session into L3 Without Approved Change Window,medium,PLAYBOOK-OT-01,family,Yes
OTD-0087,Shared or Service Account Used From Unusual DMZ Source,high,PLAYBOOK-OT-05,family,Yes
OTD-0088,File Transfer From DMZ to L3 With Executable or Engineering Project Extension,high,PLAYBOOK-OT-03,family,Yes
OTD-0089,Vendor Remote Access Session Duration or Scope Anomaly,medium,PLAYBOOK-OT-06,family,Yes
OTD-0090,Unscheduled HMI Project or Configuration Deployment,medium,PLAYBOOK-OT-03,family,Yes
OTD-0091,New or Modified Scheduled Task on HMI or SCADA Server,high,PLAYBOOK-OT-05,family,Yes
OTD-0092,Engineering Software Launched by Non-Engineering Account,high,PLAYBOOK-OT-01,family,Yes
OTD-0093,Abnormal Authentication Pattern on SCADA or HMI Server,medium,PLAYBOOK-OT-01,family,Yes
OTD-0094,Unexpected Outbound Connection from L2 HMI Toward DMZ or IT,high,PLAYBOOK-OT-05,family,Yes
OTD-0095,Control Command From HMI Outside Documented HMI-to-PLC Pairing,high,PLAYBOOK-OT-05,family,Yes
OTD-0096,Engineering Protocol Session Opened by HMI Account,high,PLAYBOOK-OT-06,family,Yes
OTD-0097,Setpoint Change Exceeding Safe Delta Threshold,high,PLAYBOOK-OT-02,family,Yes
OTD-0098,Redundant Sensor Correlation Divergence,medium,PLAYBOOK-OT-09,family,Yes
OTD-0099,Zone Enforcement Firewall Rule Hit-Count Anomaly,medium,,none,No
OTD-0100,Removable Media Event on DMZ or L3 Asset,high,PLAYBOOK-OT-01,family,Yes
OTD-0101,East-West Traffic Between L1 Controllers Across Process Cells,high,PLAYBOOK-OT-07,family,Yes
OTD-0102,NTP or Time Desynchronization Anomaly Across IT-OT Path,low,,none,No
OTD-0103,IEC 104 Mass Coordinated Breaker-Open Command Burst,critical,PLAYBOOK-OT-07,family,Yes
OTD-0104,Modbus Holding Register Manipulation at Abnormal Cadence,high,PLAYBOOK-OT-05,family,Yes
OTD-0105,Mass Disk-Wiping Utility Execution Across Multiple Hosts,critical,PLAYBOOK-OT-07,family,Yes
OTD-0106,IEC 61850 GOOSE Unauthorized Publisher or Spoofed Message,critical,PLAYBOOK-OT-05,family,Yes
OTD-0107,Mass Lateral Deployment Tooling Preceding Suspected Wiper Activity,high,PLAYBOOK-OT-09,family,Yes
OTD-0108,DNS Tunneling Beacon From OT DMZ or Engineering Host,high,PLAYBOOK-OT-05,family,Yes
OTD-0109,Web Shell Activity on Internet-Facing OT-Adjacent Server,critical,,none,No
OTD-0110,Credential Harvesting Tool Execution on Engineering or SCADA Host,critical,PLAYBOOK-OT-05,family,Yes
OTD-0111,Low-and-Slow HTTPS Beaconing Indicative of OilRig-Class Backdoor C2,medium,PLAYBOOK-OT-05,family,Yes
OTD-0112,Shamoon-Style MBR Wiper Execution,critical,,none,No
OTD-0113,Password Spray Against OT Remote Access Portal,high,PLAYBOOK-OT-05,family,Yes
OTD-0114,Mass Malware Spreader Tool Execution Across Multiple Hosts,critical,PLAYBOOK-OT-04,family,Yes
OTD-0115,OPC UA Server Enumeration Followed by Node Value Tampering,high,PLAYBOOK-OT-09,family,Yes
OTD-0116,CODESYS Protocol Command to Schneider Controller From Non-Engineering Host,critical,PLAYBOOK-OT-01,family,Yes
OTD-0117,OMRON FINS/HTTP Backdoor Command Execution,high,PLAYBOOK-OT-07,family,Yes
OTD-0118,ASRock RGB Driver Exploitation Attempt (CVE-2020-15368),critical,PLAYBOOK-OT-05,family,Yes
OTD-0119,Triconex Safety Controller Engineering Session From Unauthorized Host,critical,PLAYBOOK-OT-05,family,Yes
OTD-0120,Safety Controller Key-Switch or Mode Change Outside Proof-Test Window,critical,PLAYBOOK-OT-05,family,Yes
OTD-0121,Engineering Workstation Reflective/Memory-Only Process Injection,high,PLAYBOOK-OT-03,family,Yes
OTD-0122,Mass File Encryption or Rename Activity on OT Historian or Engineering Host,critical,PLAYBOOK-OT-01,family,Yes
OTD-0123,Unitronics Vision PLC Default Port Access (BAUXITE Pattern),critical,,none,No
OTD-0124,HMI Display Screen Defacement or Unauthorized Image/Text Overwrite,critical,PLAYBOOK-OT-03,family,Yes
OTD-0125,Post-Unitronics-Compromise Lateral Movement via SMB/RDP From PLC Network Segment,high,PLAYBOOK-OT-05,family,Yes
OTD-0126,Remote Management Tool Installation on OT-Adjacent Host (MuddyWater Pattern),high,,none,No
OTD-0127,Bulk Exfiltration of OT Documentation and Network Diagrams (Moses Staff Pattern),high,,none,No
OTD-0128,Ransomware Precursor — Lateral Movement Targeting Historian or SCADA Hostnames,high,PLAYBOOK-OT-09,family,Yes
OTD-0129,Mass File Transfer Appliance Exploitation Preceding OT Document Theft (Cl0p Pattern),critical,,none,No
OTD-0130,Sensor Gateway Mass Filesystem Wipe or RS485/MBus Disruption (Fuxnet Pattern),critical,PLAYBOOK-OT-09,family,Yes
OTD-0131,Coordinated Multi-Site SCADA Command Triggering Mass Manual-Fallback (Predatory Sparrow-Class Pattern),critical,PLAYBOOK-OT-07,family,Yes
OTD-0132,Password Spray Against Cloud Identity Tenant Serving OT-Adjacent Accounts,high,PLAYBOOK-OT-06,family,Yes
OTD-0133,Security Event Log Cleared on OT Network System,critical,PLAYBOOK-OT-04,family,Yes
OTD-0134,PLC Configuration Drift From Verified Offline Backup,critical,PLAYBOOK-OT-05,family,Yes
OTD-0135,Historian Query Pattern Anomaly From IT-Network Host,medium,PLAYBOOK-OT-05,family,Yes
OTD-0136,Engineering Workstation Outbound Connection to Infrastructure Outside Approved List,high,PLAYBOOK-OT-05,family,Yes
OTD-0137,Vendor VPN Authentication Outside Approved Window or Geography,medium,PLAYBOOK-OT-05,family,Yes
OTD-0138,Dormant Vendor Account First-Use After Extended Inactivity,high,PLAYBOOK-OT-05,family,Yes
OTD-0139,Unauthenticated Modbus/DNP3 Traffic Through Legacy Serial-to-Ethernet Gateway,high,PLAYBOOK-OT-07,family,Yes
OTD-0140,Unauthorized Association to Industrial Wireless Network (WirelessHART/ISA100/OT Wi-Fi),high,PLAYBOOK-OT-08,family,Yes
OTD-0141,OT Cloud Agent Unexpected Outbound Data Pathway,medium,PLAYBOOK-OT-06,family,Yes
OTD-0142,Spearphishing Lure Execution by OT Engineering Personnel,critical,PLAYBOOK-OT-04,family,Yes
OTD-0143,Command ASDU from non-master,critical,PLAYBOOK-OT-07,family,Yes
OTD-0144,Setpoint command,high,PLAYBOOK-OT-02,family,Yes
OTD-0145,Interrogation recon,medium,PLAYBOOK-OT-07,family,Yes
OTD-0146,Clock-sync/reset abuse,high,PLAYBOOK-OT-07,family,Yes
OTD-0147,MMS control Operate from non-master,critical,PLAYBOOK-OT-07,family,Yes
OTD-0148,MMS write to named variable,high,PLAYBOOK-OT-07,family,Yes
OTD-0149,GOOSE stNum/sqNum anomaly,critical,PLAYBOOK-OT-07,family,Yes
OTD-0150,GOOSE from unexpected source,high,PLAYBOOK-OT-07,family,Yes
OTD-0151,WriteProperty to command object,high,PLAYBOOK-OT-07,family,Yes
OTD-0152,Who-Is sweep (recon),medium,PLAYBOOK-OT-07,family,Yes
OTD-0153,DeviceCommunicationControl,high,PLAYBOOK-OT-07,family,Yes
OTD-0154,ReinitializeDevice,high,PLAYBOOK-OT-01,family,Yes
OTD-0155,Operate from non-master,critical,PLAYBOOK-OT-07,family,Yes
OTD-0156,Unsolicited-response anomaly,high,PLAYBOOK-OT-07,family,Yes
OTD-0157,Tag/Set_Attribute write from non-controller,high,PLAYBOOK-OT-09,family,Yes
OTD-0158,ListIdentity sweep,medium,PLAYBOOK-OT-06,family,Yes
OTD-0159,forward_open from unexpected source,high,PLAYBOOK-OT-07,family,Yes
OTD-0160,Write to config class,high,PLAYBOOK-OT-06,family,Yes
OTD-0161,Anonymous FTP login to OT device,high,,none,No
OTD-0162,FTP brute force,high,PLAYBOOK-OT-06,family,Yes
OTD-0163,Upload to a control device,high,PLAYBOOK-OT-07,family,Yes
OTD-0164,Firmware/project file transfer,high,PLAYBOOK-OT-03,family,Yes
OTD-0165,Web login brute force,high,PLAYBOOK-OT-06,family,Yes
OTD-0166,Directory/endpoint enumeration,medium,,none,No
OTD-0167,New client to device web UI,medium,PLAYBOOK-OT-08,family,Yes
OTD-0168,Post-login control action,high,PLAYBOOK-OT-07,family,Yes
OTD-0169,Write to critical register,critical,PLAYBOOK-OT-05,family,Yes
OTD-0170,Diagnostic abuse,high,PLAYBOOK-OT-07,family,Yes
OTD-0171,Cross-zone Modbus,high,PLAYBOOK-OT-07,family,Yes
OTD-0172,Publish to command topic,high,PLAYBOOK-OT-07,family,Yes
OTD-0173,Wildcard subscribe (mass recon),medium,PLAYBOOK-OT-07,family,Yes
OTD-0174,Anonymous/new client connect,medium,PLAYBOOK-OT-08,family,Yes
OTD-0175,Retained-message tampering,high,PLAYBOOK-OT-07,family,Yes
OTD-0176,Anonymous/None session,high,PLAYBOOK-OT-07,family,Yes
OTD-0177,Write to command node,high,PLAYBOOK-OT-07,family,Yes
OTD-0178,CallMethod to control method,high,PLAYBOOK-OT-07,family,Yes
OTD-0179,Browse sweep (recon),medium,PLAYBOOK-OT-08,family,Yes
OTD-0180,PLC STOP/START,critical,PLAYBOOK-OT-07,family,Yes
OTD-0181,Program upload (logic theft),high,PLAYBOOK-OT-03,family,Yes
OTD-0182,Write from non-engineering source,high,PLAYBOOK-OT-07,family,Yes
OTD-0183,SZL/system recon,medium,PLAYBOOK-OT-07,family,Yes
OTD-0184,Vertical scan,medium,,none,No
OTD-0185,Scan from unexpected source,high,,none,No
OTD-0186,OT control-port probing,high,PLAYBOOK-OT-07,family,Yes
OTD-0187,VNC to a control host,high,PLAYBOOK-OT-07,family,Yes
OTD-0188,VNC from unexpected source,high,,none,No
OTD-0189,Post-session engineering activity,critical,PLAYBOOK-OT-03,family,Yes
OTD-0190,Cross-zone VNC,high,,none,No
OTD-0191,Tag out of operating envelope,medium,PLAYBOOK-OT-03,family,Yes
OTD-0192,Setpoint outside approved range,high,PLAYBOOK-OT-02,family,Yes
OTD-0193,Frozen value / replay,medium,PLAYBOOK-OT-09,family,Yes
OTD-0194,Impossible state combination,high,PLAYBOOK-OT-09,family,Yes
OTD-0195,Historian vs live PLC value divergence,high,PLAYBOOK-OT-09,family,Yes
OTD-0196,SIF trip-point approach,high,PLAYBOOK-OT-05,family,Yes
OTD-0197,Encoded/suspicious PowerShell,high,,none,No
OTD-0198,LOLBin abuse,high,,none,No
OTD-0199,Credential access LSASS,critical,PLAYBOOK-OT-01,family,Yes
OTD-0200,Persistence run key/startup,high,PLAYBOOK-OT-05,family,Yes
OTD-0201,Persistence service install,high,PLAYBOOK-OT-05,family,Yes
OTD-0202,Persistence scheduled task,medium,PLAYBOOK-OT-05,family,Yes
OTD-0203,Defense evasion log clearing,high,,none,No
OTD-0204,Defense evasion AV/EDR tamper,critical,,none,No
OTD-0205,Suspicious parent-child,high,,none,No
OTD-0206,Masquerading binary,medium,,none,No
OTD-0207,Internal host scanning,high,,none,No
OTD-0208,New east-west peer relationship,medium,,none,No
OTD-0209,Lateral SMB admin shares,high,,none,No
OTD-0210,Lateral RDP internal spread,high,PLAYBOOK-OT-06,family,Yes
OTD-0211,Lateral WMI/WinRM exec,high,,none,No
OTD-0212,Remote service creation PsExec-like,high,,none,No
OTD-0213,Pass-the-hash/anomalous NTLM,high,,none,No
OTD-0214,Kerberoasting,high,,none,No
OTD-0215,Internal DNS/AD recon,medium,,none,No
OTD-0216,Brute force single account,medium,PLAYBOOK-OT-06,family,Yes
OTD-0217,Password spray,high,PLAYBOOK-OT-06,family,Yes
OTD-0218,Success after repeated failures,high,PLAYBOOK-OT-06,family,Yes
OTD-0219,Privilege/permission change,high,PLAYBOOK-OT-06,family,Yes
OTD-0220,New/re-enabled account then use,medium,PLAYBOOK-OT-06,family,Yes
OTD-0221,Impossible travel/atypical geo,high,PLAYBOOK-OT-06,family,Yes
OTD-0222,Off-hours privileged logon,medium,PLAYBOOK-OT-06,family,Yes
OTD-0223,Disabled/dormant account use,high,PLAYBOOK-OT-06,family,Yes
OTD-0224,MFA fatigue,high,PLAYBOOK-OT-06,family,Yes
OTD-0225,Ingress/egress volume baseline deviation,medium,,none,No
OTD-0226,SYN flood,high,,none,No
OTD-0227,UDP/amplification flood,high,,none,No
OTD-0228,Connection-rate spike to a service,high,,none,No
OTD-0229,Source fan-in DDoS,high,,none,No
OTD-0230,ICMP flood,medium,,none,No
OTD-0231,Perimeter deny surge,medium,,none,No
OTD-0232,Resource exhaustion on public service,high,,none,No
OTD-0233,DNS tunnelling,high,,none,No
OTD-0234,DGA activity,high,,none,No
OTD-0235,Rare/new external domain,medium,,none,No
OTD-0236,Beaconing C2,high,,none,No
OTD-0237,Connection-count outlier,medium,,none,No
OTD-0238,Data-volume exfil outlier,high,,none,No
OTD-0239,Long-lived high-byte session,medium,,none,No
OTD-0240,DoH/rare resolver,medium,,none,No
OTD-0241,Threat-intel IOC hit,high,,none,No
OTD-0242,Tor usage,high,,none,No
OTD-0243,Crypto-mining,high,,none,No
OTD-0244,P2P/torrent,medium,,none,No
OTD-0245,Geo-prohibited destination,medium,,none,No
OTD-0246,Unauthorized cloud storage,medium,,none,No
OTD-0247,Prohibited cleartext protocol,medium,,none,No
OTD-0248,Unauthorized remote-access tool,high,,none,No
OTD-0249,Traffic to newly-registered domain,medium,PLAYBOOK-OT-07,family,Yes
OTD-0250,Outbound vertical scan,medium,,none,No
OTD-0251,High outbound deny rate,medium,,none,No
OTD-0252,Web login brute force,high,PLAYBOOK-OT-06,family,Yes
OTD-0253,Directory/endpoint enumeration,medium,,none,No
OTD-0254,Injection patterns SQLi/XSS/cmd,high,,none,No
OTD-0255,High 5xx error spike,medium,,none,No
OTD-0256,Suspicious user-agent/tool,medium,,none,No
OTD-0257,Web shell indicators,critical,,none,No
