OTD_ID,Title,Library_Name,Query_Origin,Sentinel_KQL_Path,Splunk_SPL_Path
OTD-0024,Historian/operational data exfiltration,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0024__historian-operational-data-exfiltration.kql,02-detection/queries/splunk/OTD-0024__historian-operational-data-exfiltration.spl
OTD-0025,Time-sync (NTP) manipulation affecting SOE,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0025__time-sync-ntp-manipulation-affecting-soe.kql,02-detection/queries/splunk/OTD-0025__time-sync-ntp-manipulation-affecting-soe.spl
OTD-0026,Unauthorized wireless/cellular modem access,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0026__unauthorized-wireless-cellular-modem-access.kql,02-detection/queries/splunk/OTD-0026__unauthorized-wireless-cellular-modem-access.spl
OTD-0027,PLC operating mode change to Program/Remote,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0027__plc-operating-mode-change-to-program-remote.kql,02-detection/queries/splunk/OTD-0027__plc-operating-mode-change-to-program-remote.spl
OTD-0028,Unsigned/downgrade firmware load,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0028__unsigned-downgrade-firmware-load.kql,02-detection/queries/splunk/OTD-0028__unsigned-downgrade-firmware-load.spl
OTD-0029,Control-to-safety write/command,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0029__control-to-safety-write-command.kql,02-detection/queries/splunk/OTD-0029__control-to-safety-write-command.spl
OTD-0030,New comms path into SIS zone,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0030__new-comms-path-into-sis-zone.kql,02-detection/queries/splunk/OTD-0030__new-comms-path-into-sis-zone.spl
OTD-0031,Reversed data direction at boundary,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0031__reversed-data-direction-at-boundary.kql,02-detection/queries/splunk/OTD-0031__reversed-data-direction-at-boundary.spl
OTD-0032,SIS traffic bypassing sanctioned gateway,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0032__sis-traffic-bypassing-sanctioned-gateway.kql,02-detection/queries/splunk/OTD-0032__sis-traffic-bypassing-sanctioned-gateway.spl
OTD-0033,SIS program download,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0033__sis-program-download.kql,02-detection/queries/splunk/OTD-0033__sis-program-download.spl
OTD-0034,SIS program upload,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0034__sis-program-upload.kql,02-detection/queries/splunk/OTD-0034__sis-program-upload.spl
OTD-0035,Key-switch/mode to PROGRAM/REMOTE,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0035__key-switch-mode-to-program-remote.kql,02-detection/queries/splunk/OTD-0035__key-switch-mode-to-program-remote.spl
OTD-0036,SIS logic differs from golden baseline,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0036__sis-logic-differs-from-golden-baseline.kql,02-detection/queries/splunk/OTD-0036__sis-logic-differs-from-golden-baseline.spl
OTD-0037,SIS firmware change,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0037__sis-firmware-change.kql,02-detection/queries/splunk/OTD-0037__sis-firmware-change.spl
OTD-0038,SIS engineering off-window/new host,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0038__sis-engineering-off-window-new-host.kql,02-detection/queries/splunk/OTD-0038__sis-engineering-off-window-new-host.spl
OTD-0039,Safety PV trending toward trip,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0039__safety-pv-trending-toward-trip.kql,02-detection/queries/splunk/OTD-0039__safety-pv-trending-toward-trip.spl
OTD-0040,Trip setpoint/safety parameter modification,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0040__trip-setpoint-safety-parameter-modification.kql,02-detection/queries/splunk/OTD-0040__trip-setpoint-safety-parameter-modification.spl
OTD-0041,Unexpected SIF trip/demand,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0041__unexpected-sif-trip-demand.kql,02-detection/queries/splunk/OTD-0041__unexpected-sif-trip-demand.spl
OTD-0042,Expected trip absent/alarm suppression,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0042__expected-trip-absent-alarm-suppression.kql,02-detection/queries/splunk/OTD-0042__expected-trip-absent-alarm-suppression.spl
OTD-0043,Final-element command-response mismatch,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0043__final-element-command-response-mismatch.kql,02-detection/queries/splunk/OTD-0043__final-element-command-response-mismatch.spl
OTD-0044,De-energize-to-trip circuit anomaly,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0044__de-energize-to-trip-circuit-anomaly.kql,02-detection/queries/splunk/OTD-0044__de-energize-to-trip-circuit-anomaly.spl
OTD-0045,Voting degradation,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0045__voting-degradation.kql,02-detection/queries/splunk/OTD-0045__voting-degradation.spl
OTD-0046,Redundant safety-sensor disagreement,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0046__redundant-safety-sensor-disagreement.kql,02-detection/queries/splunk/OTD-0046__redundant-safety-sensor-disagreement.spl
OTD-0047,Frozen/replayed safety input,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0047__frozen-replayed-safety-input.kql,02-detection/queries/splunk/OTD-0047__frozen-replayed-safety-input.spl
OTD-0048,Loss of independence (shared/BPCS input),SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0048__loss-of-independence-shared-bpcs-input.kql,02-detection/queries/splunk/OTD-0048__loss-of-independence-shared-bpcs-input.spl
OTD-0049,Safety input bad-quality spike,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0049__safety-input-bad-quality-spike.kql,02-detection/queries/splunk/OTD-0049__safety-input-bad-quality-spike.spl
OTD-0050,SIF bypass/inhibit activated,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0050__sif-bypass-inhibit-activated.kql,02-detection/queries/splunk/OTD-0050__sif-bypass-inhibit-activated.spl
OTD-0051,Long-duration/overdue bypass,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0051__long-duration-overdue-bypass.kql,02-detection/queries/splunk/OTD-0051__long-duration-overdue-bypass.spl
OTD-0052,Bypass from unexpected source/off-window,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0052__bypass-from-unexpected-source-off-window.kql,02-detection/queries/splunk/OTD-0052__bypass-from-unexpected-source-off-window.spl
OTD-0053,Forced I/O on safety controller,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0053__forced-i-o-on-safety-controller.kql,02-detection/queries/splunk/OTD-0053__forced-i-o-on-safety-controller.spl
OTD-0054,Multiple simultaneous bypasses,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0054__multiple-simultaneous-bypasses.kql,02-detection/queries/splunk/OTD-0054__multiple-simultaneous-bypasses.spl
OTD-0055,SIS-BPCS comm loss (loss of view),SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0055__sis-bpcs-comm-loss-loss-of-view.kql,02-detection/queries/splunk/OTD-0055__sis-bpcs-comm-loss-loss-of-view.spl
OTD-0056,SIS diagnostic fault/degraded module,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0056__sis-diagnostic-fault-degraded-module.kql,02-detection/queries/splunk/OTD-0056__sis-diagnostic-fault-degraded-module.spl
OTD-0057,Spurious trip-rate anomaly,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0057__spurious-trip-rate-anomaly.kql,02-detection/queries/splunk/OTD-0057__spurious-trip-rate-anomaly.spl
OTD-0058,SIS controller restart/power event,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0058__sis-controller-restart-power-event.kql,02-detection/queries/splunk/OTD-0058__sis-controller-restart-power-event.spl
OTD-0059,SIS time/clock skew,SIS Safety Detection,scaffold,02-detection/queries/sentinel/OTD-0059__sis-time-clock-skew.kql,02-detection/queries/splunk/OTD-0059__sis-time-clock-skew.spl
OTD-0060,Modbus Exception Response Flood (Possible Scanning or Fuzzing),Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0060__modbus-exception-response-flood-possible-scanning-or-fuzzing.kql,02-detection/queries/splunk/OTD-0060__modbus-exception-response-flood-possible-scanning-or-fuzzing.spl
OTD-0061,Modbus Write to Coil/Register Outside Approved Change Window,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0061__modbus-write-to-coil-register-outside-approved-change-window.kql,02-detection/queries/splunk/OTD-0061__modbus-write-to-coil-register-outside-approved-change-window.spl
OTD-0062,DNP3 Direct Operate Without Preceding Select (Bypass of Select-Before-Operate),Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0062__dnp3-direct-operate-without-preceding-select-bypass-of-selec.kql,02-detection/queries/splunk/OTD-0062__dnp3-direct-operate-without-preceding-select-bypass-of-selec.spl
OTD-0063,DNP3 CROB Control Command Outside Maintenance Window,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0063__dnp3-crob-control-command-outside-maintenance-window.kql,02-detection/queries/splunk/OTD-0063__dnp3-crob-control-command-outside-maintenance-window.spl
OTD-0064,OPC UA Untrusted or Self-Signed Certificate Accepted,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0064__opc-ua-untrusted-or-self-signed-certificate-accepted.kql,02-detection/queries/splunk/OTD-0064__opc-ua-untrusted-or-self-signed-certificate-accepted.spl
OTD-0065,OPC UA Write Request to Critical Node from Unauthorized Client,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0065__opc-ua-write-request-to-critical-node-from-unauthorized-clie.kql,02-detection/queries/splunk/OTD-0065__opc-ua-write-request-to-critical-node-from-unauthorized-clie.spl
OTD-0066,OPC UA Address Space Browse Flood (Reconnaissance),Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0066__opc-ua-address-space-browse-flood-reconnaissance.kql,02-detection/queries/splunk/OTD-0066__opc-ua-address-space-browse-flood-reconnaissance.spl
OTD-0067,S7comm Program Block Download/Upload Outside Change Window,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0067__s7comm-program-block-download-upload-outside-change-window.kql,02-detection/queries/splunk/OTD-0067__s7comm-program-block-download-upload-outside-change-window.spl
OTD-0068,S7comm System Status List (SZL) Enumeration,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0068__s7comm-system-status-list-szl-enumeration.kql,02-detection/queries/splunk/OTD-0068__s7comm-system-status-list-szl-enumeration.spl
OTD-0069,IEC 60870-5-104 General Interrogation from Unauthorized Master,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0069__iec-60870-5-104-general-interrogation-from-unauthorized-mast.kql,02-detection/queries/splunk/OTD-0069__iec-60870-5-104-general-interrogation-from-unauthorized-mast.spl
OTD-0070,IEC 60870-5-104 Single or Double Command Outside Maintenance Window,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0070__iec-60870-5-104-single-or-double-command-outside-maintenance.kql,02-detection/queries/splunk/OTD-0070__iec-60870-5-104-single-or-double-command-outside-maintenance.spl
OTD-0071,IEC 60870-5-104 Clock Synchronization Command Anomaly,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0071__iec-60870-5-104-clock-synchronization-command-anomaly.kql,02-detection/queries/splunk/OTD-0071__iec-60870-5-104-clock-synchronization-command-anomaly.spl
OTD-0072,Engineering Workstation Communicating with Multiple PLCs Across Zones,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0072__engineering-workstation-communicating-with-multiple-plcs-acr.kql,02-detection/queries/splunk/OTD-0072__engineering-workstation-communicating-with-multiple-plcs-acr.spl
OTD-0073,New or Unauthorized Asset Communicating on OT Engineering Protocol Port,Sigma: OT/ICS SOC,compiled-from-sigma,02-detection/queries/sentinel/OTD-0073__new-or-unauthorized-asset-communicating-on-ot-engineering-pr.kql,02-detection/queries/splunk/OTD-0073__new-or-unauthorized-asset-communicating-on-ot-engineering-pr.spl
OTD-0074,DNP3 Cold or Warm Restart Function to Outstation,Sigma: Core Protocol,compiled-from-sigma,02-detection/queries/sentinel/OTD-0074__dnp3-cold-or-warm-restart-function-to-outstation.kql,02-detection/queries/splunk/OTD-0074__dnp3-cold-or-warm-restart-function-to-outstation.spl
OTD-0075,IEC 60870-5-104 Control Command from Unauthorized Source,Sigma: Core Protocol,compiled-from-sigma,02-detection/queries/sentinel/OTD-0075__iec-60870-5-104-control-command-from-unauthorized-source.kql,02-detection/queries/splunk/OTD-0075__iec-60870-5-104-control-command-from-unauthorized-source.spl
OTD-0076,Modbus FC08 Diagnostic Restart or Force Listen-Only Mode,Sigma: Core Protocol,compiled-from-sigma,02-detection/queries/sentinel/OTD-0076__modbus-fc08-diagnostic-restart-or-force-listen-only-mode.kql,02-detection/queries/splunk/OTD-0076__modbus-fc08-diagnostic-restart-or-force-listen-only-mode.spl
OTD-0077,Unauthorized Modbus Write to Coils or Registers,Sigma: Core Protocol,compiled-from-sigma,02-detection/queries/sentinel/OTD-0077__unauthorized-modbus-write-to-coils-or-registers.kql,02-detection/queries/splunk/OTD-0077__unauthorized-modbus-write-to-coils-or-registers.spl
OTD-0078,Active Network Scan of OT Subnet,Sigma: Core Protocol,compiled-from-sigma,02-detection/queries/sentinel/OTD-0078__active-network-scan-of-ot-subnet.kql,02-detection/queries/splunk/OTD-0078__active-network-scan-of-ot-subnet.spl
OTD-0079,S7comm STOP CPU Command to PLC,Sigma: Core Protocol,compiled-from-sigma,02-detection/queries/sentinel/OTD-0079__s7comm-stop-cpu-command-to-plc.kql,02-detection/queries/splunk/OTD-0079__s7comm-stop-cpu-command-to-plc.spl
OTD-0080,Direct IT-to-OT-DMZ Connection Bypassing Jump Host,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0080__direct-it-to-ot-dmz-connection-bypassing-jump-host.kql,02-detection/queries/splunk/OTD-0080__direct-it-to-ot-dmz-connection-bypassing-jump-host.spl
OTD-0081,Unauthorized Lateral-Movement Protocol Entering OT DMZ,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0081__unauthorized-lateral-movement-protocol-entering-ot-dmz.kql,02-detection/queries/splunk/OTD-0081__unauthorized-lateral-movement-protocol-entering-ot-dmz.spl
OTD-0082,OT DMZ Historian Replication Direction Anomaly,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0082__ot-dmz-historian-replication-direction-anomaly.kql,02-detection/queries/splunk/OTD-0082__ot-dmz-historian-replication-direction-anomaly.spl
OTD-0083,AV/Patch Management Push to DMZ Outside Maintenance Window or Scope,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0083__av-patch-management-push-to-dmz-outside-maintenance-window-o.kql,02-detection/queries/splunk/OTD-0083__av-patch-management-push-to-dmz-outside-maintenance-window-o.spl
OTD-0084,OT DMZ Asset External DNS or NTP Resolution Attempt,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0084__ot-dmz-asset-external-dns-or-ntp-resolution-attempt.kql,02-detection/queries/splunk/OTD-0084__ot-dmz-asset-external-dns-or-ntp-resolution-attempt.spl
OTD-0085,Web or Email Content Landing on OT DMZ Jump Host,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0085__web-or-email-content-landing-on-ot-dmz-jump-host.kql,02-detection/queries/splunk/OTD-0085__web-or-email-content-landing-on-ot-dmz-jump-host.spl
OTD-0086,Remote Access Session into L3 Without Approved Change Window,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0086__remote-access-session-into-l3-without-approved-change-window.kql,02-detection/queries/splunk/OTD-0086__remote-access-session-into-l3-without-approved-change-window.spl
OTD-0087,Shared or Service Account Used From Unusual DMZ Source,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0087__shared-or-service-account-used-from-unusual-dmz-source.kql,02-detection/queries/splunk/OTD-0087__shared-or-service-account-used-from-unusual-dmz-source.spl
OTD-0088,File Transfer From DMZ to L3 With Executable or Engineering Project Extension,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0088__file-transfer-from-dmz-to-l3-with-executable-or-engineering.kql,02-detection/queries/splunk/OTD-0088__file-transfer-from-dmz-to-l3-with-executable-or-engineering.spl
OTD-0089,Vendor Remote Access Session Duration or Scope Anomaly,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0089__vendor-remote-access-session-duration-or-scope-anomaly.kql,02-detection/queries/splunk/OTD-0089__vendor-remote-access-session-duration-or-scope-anomaly.spl
OTD-0090,Unscheduled HMI Project or Configuration Deployment,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0090__unscheduled-hmi-project-or-configuration-deployment.kql,02-detection/queries/splunk/OTD-0090__unscheduled-hmi-project-or-configuration-deployment.spl
OTD-0091,New or Modified Scheduled Task on HMI or SCADA Server,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0091__new-or-modified-scheduled-task-on-hmi-or-scada-server.kql,02-detection/queries/splunk/OTD-0091__new-or-modified-scheduled-task-on-hmi-or-scada-server.spl
OTD-0092,Engineering Software Launched by Non-Engineering Account,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0092__engineering-software-launched-by-non-engineering-account.kql,02-detection/queries/splunk/OTD-0092__engineering-software-launched-by-non-engineering-account.spl
OTD-0093,Abnormal Authentication Pattern on SCADA or HMI Server,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0093__abnormal-authentication-pattern-on-scada-or-hmi-server.kql,02-detection/queries/splunk/OTD-0093__abnormal-authentication-pattern-on-scada-or-hmi-server.spl
OTD-0094,Unexpected Outbound Connection from L2 HMI Toward DMZ or IT,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0094__unexpected-outbound-connection-from-l2-hmi-toward-dmz-or-it.kql,02-detection/queries/splunk/OTD-0094__unexpected-outbound-connection-from-l2-hmi-toward-dmz-or-it.spl
OTD-0095,Control Command From HMI Outside Documented HMI-to-PLC Pairing,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0095__control-command-from-hmi-outside-documented-hmi-to-plc-pairi.kql,02-detection/queries/splunk/OTD-0095__control-command-from-hmi-outside-documented-hmi-to-plc-pairi.spl
OTD-0096,Engineering Protocol Session Opened by HMI Account,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0096__engineering-protocol-session-opened-by-hmi-account.kql,02-detection/queries/splunk/OTD-0096__engineering-protocol-session-opened-by-hmi-account.spl
OTD-0097,Setpoint Change Exceeding Safe Delta Threshold,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0097__setpoint-change-exceeding-safe-delta-threshold.kql,02-detection/queries/splunk/OTD-0097__setpoint-change-exceeding-safe-delta-threshold.spl
OTD-0098,Redundant Sensor Correlation Divergence,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0098__redundant-sensor-correlation-divergence.kql,02-detection/queries/splunk/OTD-0098__redundant-sensor-correlation-divergence.spl
OTD-0099,Zone Enforcement Firewall Rule Hit-Count Anomaly,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0099__zone-enforcement-firewall-rule-hit-count-anomaly.kql,02-detection/queries/splunk/OTD-0099__zone-enforcement-firewall-rule-hit-count-anomaly.spl
OTD-0100,Removable Media Event on DMZ or L3 Asset,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0100__removable-media-event-on-dmz-or-l3-asset.kql,02-detection/queries/splunk/OTD-0100__removable-media-event-on-dmz-or-l3-asset.spl
OTD-0101,East-West Traffic Between L1 Controllers Across Process Cells,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0101__east-west-traffic-between-l1-controllers-across-process-cell.kql,02-detection/queries/splunk/OTD-0101__east-west-traffic-between-l1-controllers-across-process-cell.spl
OTD-0102,NTP or Time Desynchronization Anomaly Across IT-OT Path,Sigma: IT/DMZ/OT Cross-Zone,compiled-from-sigma,02-detection/queries/sentinel/OTD-0102__ntp-or-time-desynchronization-anomaly-across-it-ot-path.kql,02-detection/queries/splunk/OTD-0102__ntp-or-time-desynchronization-anomaly-across-it-ot-path.spl
OTD-0103,IEC 104 Mass Coordinated Breaker-Open Command Burst,Sigma: Threat Actor,compiled-from-sigma,02-detection/queries/sentinel/OTD-0103__iec-104-mass-coordinated-breaker-open-command-burst.kql,02-detection/queries/splunk/OTD-0103__iec-104-mass-coordinated-breaker-open-command-burst.spl
OTD-0104,Modbus Holding Register Manipulation at Abnormal Cadence,Sigma: Threat Actor,compiled-from-sigma,02-detection/queries/sentinel/OTD-0104__modbus-holding-register-manipulation-at-abnormal-cadence.kql,02-detection/queries/splunk/OTD-0104__modbus-holding-register-manipulation-at-abnormal-cadence.spl
OTD-0105,Mass Disk-Wiping Utility Execution Across Multiple Hosts,Sigma: Threat Actor,compiled-from-sigma,02-detection/queries/sentinel/OTD-0105__mass-disk-wiping-utility-execution-across-multiple-hosts.kql,02-detection/queries/splunk/OTD-0105__mass-disk-wiping-utility-execution-across-multiple-hosts.spl
