OTD_ID,Title,Library,Library_Name,Legacy_ID,Merged_Legacy_IDs,Merge_Count,Category,ATTACK_Technique_IDs,Threat_Actors,Sectors,Purdue_Level,Protocol,Data_Source,Nozomi_Type_ID,Severity,Status,Artifact_Path,Slug,Logic_Summary
OTD-0011,OPC UA anonymous/unencrypted session,use-case,OT Threat Content,OT-UC-0011,,0,Access,T0812,GRAPHITE,Manufacturing;Oil & Gas,L2,OPC UA,Network/Nozomi,PROT:OPCUA-INSECURE,Medium,Validated,,opc-ua-anonymous-unencrypted-session,
OTD-0012,EtherNet/IP CIP firmware update to controller,use-case,OT Threat Content,OT-UC-0012,,0,Persistence,T0857,CHERNOVITE,Manufacturing,L1,ENIP/CIP,Network/Nozomi,PROT:ENIP-ILLEGAL,High,Validated,,ethernet-ip-cip-firmware-update-to-controller,
OTD-0013,Active network scan of OT subnet,use-case,OT Threat Content,OT-UC-0013,SCAN-01;SCN-01,2,Recon,T0840,VOLTZITE;GRAPHITE,Electric;Oil & Gas;Water;Manufacturing,L2,TCP/UDP,Network/Nozomi,NET:TCP-SYN-SCAN,Medium,Production,02-detection/sigma/core-protocol/ot-subnet-scan.yml,active-network-scan-of-ot-subnet,One source to many hosts on same port in short window
OTD-0014,New/unauthorized node on OT segment,use-case,OT Threat Content,OT-UC-0014,SIGMA:it-dmz-ot-crosszone/23;SIS-A4,2,Recon,T0846,VOLTZITE,Electric;Oil & Gas;Water;Manufacturing,L2,ARP/Multi,Network/Nozomi,NET:NEW-NODE,Medium,Production,02-detection/sigma/it-dmz-ot-crosszone/23_first-time-asset-communication-across-a-zone-boundary.yml,new-unauthorized-node-on-ot-segment,"Detects a source asset establishing a connection across any Purdue Model zone boundary (IT-DMZ, DMZ-L3, L3-L2, L2-L1) for the first time relative to the rolling asset-communication baseline, generalizing the single-protocol ""new asset"" rule into a cross-zone, cross-protocol behavioral check."
OTD-0015,Rogue engineering workstation to PLC,use-case,OT Threat Content,OT-UC-0015,SIGMA:it-dmz-ot-crosszone/07;SIGMA:it-dmz-ot-crosszone/18,2,Access,T0859,CHERNOVITE;ELECTRUM,Manufacturing;Oil & Gas,L2,S7comm/ENIP,Network/Nozomi,NET:NEW-LINK,High,Validated,,rogue-engineering-workstation-to-plc,"Detects a designated RDP/jump-server host appearing as a Modbus, DNP3, S7comm, or OPC UA protocol client itself rather than simply brokering an interactive remote session, which can indicate an attacker has installed tooling directly on the jump host to issue OT commands."
OTD-0016,Alarm suppression/modify alarm settings,use-case,OT Threat Content,OT-UC-0016,,0,Evasion,T0878,XENOTIME,Oil & Gas;Chemical,L2,HMI/Historian,Endpoint/App Log,SIGN:PACKET-RULE,High,In-Development,,alarm-suppression-modify-alarm-settings,
OTD-0017,SIS key switch in PROGRAM mode,use-case,OT Threat Content,OT-UC-0017,SIGMA:it-dmz-ot-crosszone/20;SIS-B1,2,Safety,T0858,XENOTIME,Oil & Gas;Chemical,L1,TriStation/Proprietary,Network/Nozomi,PROT:MALFORMED-PACKET,Critical,Validated,,sis-key-switch-in-program-mode,"Detects a force/override flag being set on a tag belonging to the Safety Instrumented System (SIS) address range, a technique directly associated with the TRITON/TRISIS attack against a Schneider Electric Triconex SIS controller."
OTD-0018,Malware transfer via SMB in OT,use-case,OT Threat Content,OT-UC-0018,,0,Malware,T0867,ELECTRUM;DragonFly,Electric;Oil & Gas,L3,SMB,Network/Nozomi,SIGN:MALWARE-DETECTED,High,Production,02-detection/nozomi/malware-smb-transfer.n2ql,malware-transfer-via-smb-in-ot,
OTD-0019,Known-bad C2/malicious IP contact from OT,use-case,OT Threat Content,OT-UC-0019,,0,C2,T0885,BAUXITE;KAMACITE,Electric;Oil & Gas;Water;Manufacturing,L3,IP/Multi,Network/Nozomi,SIGN:MALICIOUS-IP,High,Production,,known-bad-c2-malicious-ip-contact-from-ot,
OTD-0020,Removable media introduced to OT asset,use-case,OT Threat Content,OT-UC-0020,,0,Malware,T0847,DragonFly,Manufacturing;Oil & Gas,L2,Host,Endpoint/EDR,N/A (Host-based),Medium,Validated,,removable-media-introduced-to-ot-asset,
OTD-0021,Modbus enumeration and point/tag ID,use-case,OT Threat Content,OT-UC-0021,,0,Recon,T0861,GRAPHITE,Manufacturing;Water,L1,Modbus,Network/Nozomi,PROT:MODBUS-ILLEGAL,Medium,Validated,,modbus-enumeration-and-point-tag-id,
OTD-0022,Brute force/repeated failed OT auth,use-case,OT Threat Content,OT-UC-0022,,0,Access,T0812,BAUXITE,Electric;Oil & Gas;Water,L2,App/Multi,App Log,N/A (App-based),Medium,Production,,brute-force-repeated-failed-ot-auth,
OTD-0023,Denial-of-service flood against controller,use-case,OT Threat Content,OT-UC-0023,,0,Denial,T0814,ELECTRUM,Manufacturing;Electric,L1,Multi,Network/Nozomi,NET:HIGH-BANDWIDTH,High,Validated,,denial-of-service-flood-against-controller,
OTD-0024,Historian/operational data exfiltration,use-case,OT Threat Content,OT-UC-0024,,0,Exfil,T0882,GRAPHITE;VOLTZITE,Oil & Gas;Manufacturing,L3,SQL/OPC,Network/App Log,NET:NEW-LINK,Medium,In-Development,,historian-operational-data-exfiltration,
OTD-0025,Time-sync (NTP) manipulation affecting SOE,use-case,OT Threat Content,OT-UC-0025,,0,Evasion,T0856,ELECTRUM,Electric,L2,NTP,Network/Nozomi,PROT:MALFORMED-PACKET,Medium,Proposed,,time-sync-ntp-manipulation-affecting-soe,
OTD-0026,Unauthorized wireless/cellular modem access,use-case,OT Threat Content,OT-UC-0026,,0,Access,T0860,BAUXITE,Water;Oil & Gas,L1,Cellular/RF,Network/Firewall,VI:NEW-NODE,Medium,Proposed,,unauthorized-wireless-cellular-modem-access,
OTD-0027,PLC operating mode change to Program/Remote,use-case,OT Threat Content,OT-UC-0027,,0,Control,T0858,CHERNOVITE,Manufacturing;Electric,L1,S7comm/ENIP/Modbus,Network/Nozomi,PROT:MODE-CHANGE,High,Production,,plc-operating-mode-change-to-program-remote,
OTD-0028,Unsigned/downgrade firmware load,use-case,OT Threat Content,OT-UC-0028,,0,Persistence,T0839,CHERNOVITE,Manufacturing;Electric,L1,Multi,Network/Nozomi,PROT:MALFORMED-PACKET,High,Validated,,unsigned-downgrade-firmware-load,
OTD-0029,Control-to-safety write/command,sis,SIS Safety Detection,SIS-A1,,0,boundary,T0855;T0836,,,L1-SIS,,NDR,,critical,Validated,,control-to-safety-write-command,independence
OTD-0030,New comms path into SIS zone,sis,SIS Safety Detection,SIS-A2,,0,boundary,T0855,,,L1-SIS,,NDR+baseline,,high,Validated,,new-comms-path-into-sis-zone,independence
OTD-0031,Reversed data direction at boundary,sis,SIS Safety Detection,SIS-A3,,0,boundary,T0855,,,L1-SIS,,gateway/NDR,,high,Validated,,reversed-data-direction-at-boundary,independence
OTD-0032,SIS traffic bypassing sanctioned gateway,sis,SIS Safety Detection,SIS-A5,,0,boundary,T0855,,,L1-SIS,,NDR/firewall,,high,Validated,,sis-traffic-bypassing-sanctioned-gateway,independence
OTD-0033,SIS program download,sis,SIS Safety Detection,SIS-B2,,0,engineering,T0843,,,L1-SIS,,NDR+SIS-event,,critical,Validated,,sis-program-download,logic-integrity
OTD-0034,SIS program upload,sis,SIS Safety Detection,SIS-B3,,0,engineering,T0845,,,L1-SIS,,NDR,,high,Validated,,sis-program-upload,logic-integrity
OTD-0035,Key-switch/mode to PROGRAM/REMOTE,sis,SIS Safety Detection,SIS-B4,,0,engineering,T0858,,,L1-SIS,,keyswitch-DI/SIS-event,,critical,Validated,,key-switch-mode-to-program-remote,logic-integrity
OTD-0036,SIS logic differs from golden baseline,sis,SIS Safety Detection,SIS-B5,,0,engineering,T0889,,,L1-SIS,,offline-compare,,critical,Validated,,sis-logic-differs-from-golden-baseline,logic-integrity
OTD-0037,SIS firmware change,sis,SIS Safety Detection,SIS-B6,,0,engineering,T0839;T0800,,,L1-SIS,,SIS-event/NDR,,critical,Validated,,sis-firmware-change,logic-integrity
OTD-0038,SIS engineering off-window/new host,sis,SIS Safety Detection,SIS-B7,,0,engineering,T0868,,,L1-SIS,,NDR+host,,high,Validated,,sis-engineering-off-window-new-host,logic-integrity
OTD-0039,Safety PV trending toward trip,sis,SIS Safety Detection,SIS-C1,,0,trip,T0880;T0837,,,L1-SIS,,historian,,high,Validated,,safety-pv-trending-toward-trip,trip-integrity
OTD-0040,Trip setpoint/safety parameter modification,sis,SIS Safety Detection,SIS-C2,,0,trip,T0836;T0838,,,L1-SIS,,historian/SIS-event,,critical,Validated,,trip-setpoint-safety-parameter-modification,trip-integrity
OTD-0041,Unexpected SIF trip/demand,sis,SIS Safety Detection,SIS-C3,,0,trip,T0880,,,L1-SIS,,historian/alarm,,high,Validated,,unexpected-sif-trip-demand,trip-integrity
OTD-0042,Expected trip absent/alarm suppression,sis,SIS Safety Detection,SIS-C4,,0,trip,T0878;T0837,,,L1-SIS,,historian/alarm,,critical,Validated,,expected-trip-absent-alarm-suppression,trip-integrity
OTD-0043,Final-element command-response mismatch,sis,SIS Safety Detection,SIS-C5,,0,trip,T0835;T0856,,,L1-SIS,,historian,,critical,Validated,,final-element-command-response-mismatch,trip-integrity
OTD-0044,De-energize-to-trip circuit anomaly,sis,SIS Safety Detection,SIS-C6,,0,trip,T0837,,,L1-SIS,,SIS-diagnostics/historian,,high,Validated,,de-energize-to-trip-circuit-anomaly,fail-safe
OTD-0045,Voting degradation,sis,SIS Safety Detection,SIS-D1,,0,sensor-voting,T0837,,,L1-SIS,,historian,,high,Validated,,voting-degradation,voting
OTD-0046,Redundant safety-sensor disagreement,sis,SIS Safety Detection,SIS-D2,,0,sensor-voting,T0856,,,L1-SIS,,historian,,high,Validated,,redundant-safety-sensor-disagreement,voting
OTD-0047,Frozen/replayed safety input,sis,SIS Safety Detection,SIS-D3,,0,sensor-voting,T0856,,,L1-SIS,,historian,,high,Validated,,frozen-replayed-safety-input,input-integrity
OTD-0048,Loss of independence (shared/BPCS input),sis,SIS Safety Detection,SIS-D4,,0,sensor-voting,T0856;T0835,,,L1-SIS,,historian,,high,Validated,,loss-of-independence-shared-bpcs-input,independence
OTD-0049,Safety input bad-quality spike,sis,SIS Safety Detection,SIS-D5,,0,sensor-voting,T0815,,,L1-SIS,,historian,,medium,Validated,,safety-input-bad-quality-spike,input-integrity
OTD-0050,SIF bypass/inhibit activated,sis,SIS Safety Detection,SIS-E1,,0,bypass,T0837,,,L1-SIS,,historian/SIS-event,,high,Validated,,sif-bypass-inhibit-activated,not-disabled
OTD-0051,Long-duration/overdue bypass,sis,SIS Safety Detection,SIS-E2,,0,bypass,T0837,,,L1-SIS,,historian,,high,Validated,,long-duration-overdue-bypass,not-disabled
OTD-0052,Bypass from unexpected source/off-window,sis,SIS Safety Detection,SIS-E3,,0,bypass,T0837,,,L1-SIS,,SIS-event/NDR,,high,Validated,,bypass-from-unexpected-source-off-window,not-disabled
OTD-0053,Forced I/O on safety controller,sis,SIS Safety Detection,SIS-E4,,0,bypass,T0835,,,L1-SIS,,SIS-diagnostics,,critical,Validated,,forced-i-o-on-safety-controller,not-disabled
OTD-0054,Multiple simultaneous bypasses,sis,SIS Safety Detection,SIS-E5,,0,bypass,T0837,,,L1-SIS,,historian,,critical,Validated,,multiple-simultaneous-bypasses,not-disabled
OTD-0055,SIS-BPCS comm loss (loss of view),sis,SIS Safety Detection,SIS-F1,,0,availability,T0804;T0837,,,L1-SIS,,historian/gateway/NDR,,high,Validated,,sis-bpcs-comm-loss-loss-of-view,fail-safe
OTD-0056,SIS diagnostic fault/degraded module,sis,SIS Safety Detection,SIS-F2,,0,availability,T0837,,,L1-SIS,,SIS-event,,high,Validated,,sis-diagnostic-fault-degraded-module,fail-safe
OTD-0057,Spurious trip-rate anomaly,sis,SIS Safety Detection,SIS-F3,,0,availability,T0880,,,L1-SIS,,historian/alarm,,medium,Validated,,spurious-trip-rate-anomaly,fail-safe
OTD-0058,SIS controller restart/power event,sis,SIS Safety Detection,SIS-F4,,0,availability,T0816,,,L1-SIS,,SIS-event/NDR,,high,Validated,,sis-controller-restart-power-event,fail-safe
OTD-0059,SIS time/clock skew,sis,SIS Safety Detection,SIS-F5,,0,availability,T0856,,,L1-SIS,,SIS-event/NDR,,medium,Validated,,sis-time-clock-skew,fail-safe
OTD-0060,Modbus Exception Response Flood (Possible Scanning or Fuzzing),ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/03,,0,Sigma,T0846;T0888,,,,modbus,ics-network/modbus,,medium,experimental,02-detection/sigma/ot-ics-soc/03_modbus-exception-response-flood-possible-scanning-or-fuzzing.yml,modbus-exception-response-flood-possible-scanning-or-fuzzing,"Detects a high volume of Modbus exception responses (function code with high bit set / exception codes 01-04) from a single slave within a short window, indicating function code probing, fuzzing, or protocol scanning."
OTD-0061,Modbus Write to Coil/Register Outside Approved Change Window,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/04,,0,Sigma,T0831;T0855,,,,modbus,ics-network/modbus,,medium,experimental,02-detection/sigma/ot-ics-soc/04_modbus-write-to-coil-register-outside-approved-change-window.yml,modbus-write-to-coil-register-outside-approved-change-window,"Detects Modbus write function codes occurring outside the defined maintenance/change window, which may indicate unauthorized process manipulation."
OTD-0062,DNP3 Direct Operate Without Preceding Select (Bypass of Select-Before-Operate),ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/07,,0,Sigma,T0855;T0858,,,,dnp3,ics-network/dnp3,,high,experimental,02-detection/sigma/ot-ics-soc/07_dnp3-direct-operate-without-preceding-select-bypass-of-selec.yml,dnp3-direct-operate-without-preceding-select-bypass-of-selec,Detects DNP3 Direct Operate (function code 5) issued to a CROB point without a preceding Select (function code 3) for the same point within a short window. Bypassing select-before-operate removes the safety check designed to prevent erroneous control actions.
OTD-0063,DNP3 CROB Control Command Outside Maintenance Window,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/08,,0,Sigma,T0855,,,,dnp3,ics-network/dnp3,,medium,experimental,02-detection/sigma/ot-ics-soc/08_dnp3-crob-control-command-outside-maintenance-window.yml,dnp3-crob-control-command-outside-maintenance-window,"Detects DNP3 Control Relay Output Block (CROB) commands (function codes 3,4,5,6) issued from the SCADA master outside the approved operating/maintenance window, which may indicate unauthorized switching/breaker operation."
OTD-0064,OPC UA Untrusted or Self-Signed Certificate Accepted,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/10,,0,Sigma,T0822;T0859,,,,opcua,ics-network/opcua,,high,experimental,02-detection/sigma/ot-ics-soc/10_opc-ua-untrusted-or-self-signed-certificate-accepted.yml,opc-ua-untrusted-or-self-signed-certificate-accepted,"Detects an OPC UA secure channel established where the client or server certificate was not present in the trusted certificate store, indicating certificate validation has been bypassed or set to AutoAccept."
OTD-0065,OPC UA Write Request to Critical Node from Unauthorized Client,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/11,,0,Sigma,T0836;T0855,,,,opcua,ics-network/opcua,,high,experimental,02-detection/sigma/ot-ics-soc/11_opc-ua-write-request-to-critical-node-from-unauthorized-clie.yml,opc-ua-write-request-to-critical-node-from-unauthorized-clie,Detects an OPC UA Write service call targeting a NodeId within the critical control address-space range from a client IP not in the approved SCADA/HMI allow-list.
OTD-0066,OPC UA Address Space Browse Flood (Reconnaissance),ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/12,,0,Sigma,T0846;T0888,,,,opcua,ics-network/opcua,,medium,experimental,02-detection/sigma/ot-ics-soc/12_opc-ua-address-space-browse-flood-reconnaissance.yml,opc-ua-address-space-browse-flood-reconnaissance,"Detects a high volume of OPC UA Browse service calls from a single client within a short window, consistent with automated enumeration of the server's address space/tag list prior to a targeted attack."
OTD-0067,S7comm Program Block Download/Upload Outside Change Window,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/14,,0,Sigma,T0843;T0871,,,,s7comm,ics-network/s7comm,,high,experimental,02-detection/sigma/ot-ics-soc/14_s7comm-program-block-download-upload-outside-change-window.yml,s7comm-program-block-download-upload-outside-change-window,"Detects S7comm Download/Upload service requests (block write/read of OB/FB/FC/DB blocks) occurring outside the approved engineering change window, indicating possible unauthorized PLC logic modification."
OTD-0068,S7comm System Status List (SZL) Enumeration,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/15,,0,Sigma,T0846;T0888,,,,s7comm,ics-network/s7comm,,medium,experimental,02-detection/sigma/ot-ics-soc/15_s7comm-system-status-list-szl-enumeration.yml,s7comm-system-status-list-szl-enumeration,"Detects repeated S7comm ""Read SZL"" (System Zustands Liste) requests used to enumerate PLC module identification, firmware version, and diagnostic data — a common reconnaissance step preceding targeted exploitation (e.g., as used by Industroyer2/INCONTROLLER-class tooling)."
OTD-0069,IEC 60870-5-104 General Interrogation from Unauthorized Master,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/16,,0,Sigma,T0846;T0888,,,,iec104,ics-network/iec104,,high,experimental,02-detection/sigma/ot-ics-soc/16_iec-60870-5-104-general-interrogation-from-unauthorized-mast.yml,iec-60870-5-104-general-interrogation-from-unauthorized-mast,"Detects an IEC 104 General Interrogation command (Type ID C_IC_NA_1) originating from a source IP that is not the approved control center/SCADA master, which can be used to mass-poll RTU/IED status as a reconnaissance or pre-positioning step."
OTD-0070,IEC 60870-5-104 Single or Double Command Outside Maintenance Window,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/17,,0,Sigma,T0855,,,,iec104,ics-network/iec104,,medium,experimental,02-detection/sigma/ot-ics-soc/17_iec-60870-5-104-single-or-double-command-outside-maintenance.yml,iec-60870-5-104-single-or-double-command-outside-maintenance,"Detects IEC 104 Single Command (C_SC_NA_1) or Double Command (C_DC_NA_1) operate requests issued outside the approved maintenance/switching window, which may indicate an unauthorized breaker/switch operation."
OTD-0071,IEC 60870-5-104 Clock Synchronization Command Anomaly,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/18,,0,Sigma,T0804;T0851,,,,iec104,ics-network/iec104,,low,experimental,02-detection/sigma/ot-ics-soc/18_iec-60870-5-104-clock-synchronization-command-anomaly.yml,iec-60870-5-104-clock-synchronization-command-anomaly,"Detects IEC 104 Clock Synchronization commands (C_CS_NA_1) sent at an abnormal frequency or from a non-master source, which can be used to desynchronize event timestamps and hinder forensic timeline reconstruction."
OTD-0072,Engineering Workstation Communicating with Multiple PLCs Across Zones,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/19,,0,Sigma,T0843;T0867,,,,generic,ics-network/generic,,high,experimental,02-detection/sigma/ot-ics-soc/19_engineering-workstation-communicating-with-multiple-plcs-acr.yml,engineering-workstation-communicating-with-multiple-plcs-acr,"Detects a single engineering workstation host establishing OT protocol sessions (Modbus/S7comm/DNP3/OPC UA) with PLCs/RTUs/outstations across more Purdue Model zones or process cells than its documented baseline, indicating possible lateral movement using a compromised EWS."
OTD-0073,New or Unauthorized Asset Communicating on OT Engineering Protocol Port,ot-ics-soc,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/20,,0,Sigma,T0846;T0883,,,,generic,ics-network/generic,,medium,experimental,02-detection/sigma/ot-ics-soc/20_new-or-unauthorized-asset-communicating-on-ot-engineering-pr.yml,new-or-unauthorized-asset-communicating-on-ot-engineering-pr,"Detects a source IP not previously observed in the OT asset inventory initiating a session on a known industrial protocol port (Modbus/502, DNP3/20000, S7comm/102, OPC UA/4840, IEC104/2404), indicating rogue device connection or unauthorized network access."
OTD-0074,DNP3 Cold or Warm Restart Function to Outstation,core-protocol,Sigma: Core Protocol,SIGMA:core-protocol/dnp3-restart,,0,Sigma,T0816,ELECTRUM,Electric;Oil & Gas;Water,,zeek,zeek,PROT:DNP3-ILLEGAL,high,stable,02-detection/sigma/core-protocol/dnp3-restart.yml,dnp3-cold-or-warm-restart-function-to-outstation,Detects DNP3 application-layer function codes 13 (COLD_RESTART) and 14 (WARM_RESTART) directed at an outstation. A restart interrupts monitoring and control of the device and can be used to mask activity or degrade availability in electric and utility environments.
OTD-0075,IEC 60870-5-104 Control Command from Unauthorized Source,core-protocol,Sigma: Core Protocol,SIGMA:core-protocol/iec104-unauthorized-control,,0,Sigma,T0855,ELECTRUM,Electric;Transportation,,zeek,zeek,PROT:IEC104-ILLEGAL,high,stable,02-detection/sigma/core-protocol/iec104-unauthorized-control.yml,iec-60870-5-104-control-command-from-unauthorized-source,"Detects IEC 60870-5-104 control-direction ASDUs - single command (C_SC_NA_1, type 45), double command (C_DC_NA_1, type 46), and set-point commands - originating from a host that is not an authorized control center / EWS. This is the command class abused in the Industroyer / Industroyer2 attacks agai"
OTD-0076,Modbus FC08 Diagnostic Restart or Force Listen-Only Mode,core-protocol,Sigma: Core Protocol,SIGMA:core-protocol/modbus-fc08-restart,,0,Sigma,T0816,CHERNOVITE,Water;Manufacturing;Chemical,,zeek,zeek,PROT:MODBUS-ILLEGAL,high,experimental,02-detection/sigma/core-protocol/modbus-fc08-restart.yml,modbus-fc08-diagnostic-restart-or-force-listen-only-mode,"Detects Modbus Diagnostics (Function Code 08) sub-functions that can disrupt a device: 0x01 (Restart Communications Option) and 0x04 (Force Listen Only Mode). These are rarely used in normal operation and can silence or reset a slave device, contributing to an Inhibit Response Function objective."
OTD-0077,Unauthorized Modbus Write to Coils or Registers,core-protocol,Sigma: Core Protocol,SIGMA:core-protocol/modbus-unauthorized-write,,0,Sigma,T0855,CHERNOVITE,Oil & Gas;Water;Manufacturing;Chemical,,zeek,zeek,PROT:MODBUS-ILLEGAL,high,stable,02-detection/sigma/core-protocol/modbus-unauthorized-write.yml,unauthorized-modbus-write-to-coils-or-registers,"Detects Modbus write function codes (5, 6, 15, 16) issued from a source that is not an authorized engineering workstation or SCADA master. Unauthorized writes to coils or holding registers can alter setpoints, actuate outputs, or manipulate the process. Baseline the authorized master set (uc_context"
OTD-0078,Active Network Scan of OT Subnet,core-protocol,Sigma: Core Protocol,SIGMA:core-protocol/ot-subnet-scan,,0,Sigma,T0840,VOLTZITE;GRAPHITE,Electric;Oil & Gas;Water;Manufacturing,,zeek,zeek,NET:TCP-SYN-SCAN,medium,experimental,02-detection/sigma/core-protocol/ot-subnet-scan.yml,active-network-scan-of-ot-subnet,"Detects horizontal scanning behaviour inside an OT segment - a single source initiating connections to many distinct OT hosts in a short window. Scanning is a discovery precursor and is especially high-signal inside a Level 2/3 OT zone where hosts communicate on stable, predictable paths."
OTD-0079,S7comm STOP CPU Command to PLC,core-protocol,Sigma: Core Protocol,SIGMA:core-protocol/s7comm-stop-cpu,,0,Sigma,T0816,CHERNOVITE;ELECTRUM,Manufacturing;Oil & Gas,,zeek,zeek,PROT:S7-ILLEGAL,high,stable,02-detection/sigma/core-protocol/s7comm-stop-cpu.yml,s7comm-stop-cpu-command-to-plc,Detects an S7comm PLC-control job requesting CPU STOP (function P_PROGRAM / PLC Stop). Halting a Siemens S7 CPU stops process execution and is a direct Inhibit Response Function / availability-impact action. Should only ever originate from an authorized engineering workstation during a controlled ch
