FR,FR_Code,Requirement_ID,Type,Implementation_Summary,Minimum_SL_C,Petrochemical_Evidence_Examples,Assessment_Status,Gap,Compensating_Countermeasure,Owner,Evidence_Link,Review_Date
"FR1","IAC","SR 1.9 RE1","RE","Hardware-protect public-key authentication","3","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.10","SR","Hide authentication feedback","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.11","SR","Limit failed login attempts","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.12","SR","Display authorized-use notice","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.13","SR","Control access from untrusted networks","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.13 RE1","RE","Require explicit approval for such access","2","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR2","UC","SR 2.1","SR","Enforce authorization for actions","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.1 RE1","RE","Apply authorization to every user type","2","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.1 RE2","RE","Map permissions to defined roles","2","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.1 RE3","RE","Provide controlled supervisor override","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.1 RE4","RE","Require two-person approval for critical actions","4","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.2","SR","Control wireless functions and use","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.2 RE1","RE","Detect and report unauthorized wireless devices","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.3","SR","Control portable and mobile devices","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.3 RE1","RE","Enforce device security posture before use","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.4","SR","Control executable mobile code","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.4 RE1","RE","Verify mobile-code integrity","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.5","SR","Lock inactive sessions","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.6","SR","Terminate remote sessions","2","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.7","SR","Limit concurrent sessions","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.8","SR","Generate defined audit events","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.8 RE1","RE","Create a centrally managed system-wide audit trail","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.9","SR","Provide adequate audit storage","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.9 RE1","RE","Warn before audit storage reaches its limit","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.10","SR","Respond safely to audit-processing failure","1","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.11","SR","Apply timestamps to records","2","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.11 RE1","RE","Synchronize time internally","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.11 RE2","RE","Protect time-source integrity","4","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.12","SR","Support action accountability and non-repudiation","3","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR2","UC","SR 2.12 RE1","RE","Extend non-repudiation to every user type","4","Role matrix, audit events, session policy and portable-device controls",,,,,,
"FR3","SI","SR 3.1","SR","Protect communication integrity","1","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.1 RE1","RE","Use cryptographic integrity controls","3","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.2","SR","Protect against malicious code","1","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.2 RE1","RE","Protect entry and exit points from malicious code","2","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.2 RE2","RE","Centrally manage and report malware protection","3","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.3","SR","Verify security functions","1","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.3 RE1","RE","Automate security-function verification","3","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.3 RE2","RE","Verify security functions during normal operation","4","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.4","SR","Protect software and information integrity","2","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.4 RE1","RE","Automatically notify integrity violations","3","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.5","SR","Validate inputs","1","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.6","SR","Fail with predictable output behavior","1","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.7","SR","Handle errors without unsafe disclosure or behavior","2","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.8","SR","Protect session integrity","2","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.8 RE1","RE","Invalidate session identifiers after termination","3","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.8 RE2","RE","Generate unique session identifiers","3","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.8 RE3","RE","Use sufficiently unpredictable session identifiers","4","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.9","SR","Protect audit information","2","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR3","SI","SR 3.9 RE1","RE","Store audit records on write-once media","4","Integrity checks, malware controls, signed packages and secure failure tests",,,,,,
"FR4","DC","SR 4.1","SR","Protect information confidentiality","1","Data classification, encrypted conduits, key records and media sanitization",,,,,,
"FR4","DC","SR 4.1 RE1","RE","Protect stored data and remote sessions over untrusted networks","2","Data classification, encrypted conduits, key records and media sanitization",,,,,,
"FR4","DC","SR 4.1 RE2","RE","Protect confidential data across every zone boundary","4","Data classification, encrypted conduits, key records and media sanitization",,,,,,
"FR4","DC","SR 4.2","SR","Prevent residual information exposure","2","Data classification, encrypted conduits, key records and media sanitization",,,,,,
"FR4","DC","SR 4.2 RE1","RE","Purge shared-memory resources before reuse","3","Data classification, encrypted conduits, key records and media sanitization",,,,,,
"FR4","DC","SR 4.3","SR","Apply cryptography according to approved policy","1","Data classification, encrypted conduits, key records and media sanitization",,,,,,
"FR5","RDF","SR 5.1","SR","Segment the control-system network","1","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.1 RE1","RE","Use physical segmentation where required","2","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.1 RE2","RE","Maintain independence from non-control networks","3","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.1 RE3","RE","Logically and physically isolate critical networks","4","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.2","SR","Protect zone boundaries","1","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.2 RE1","RE","Deny by default and allow only exceptions","2","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.2 RE2","RE","Support secure island operation","3","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.2 RE3","RE","Fail closed where the risk assessment requires","3","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.3","SR","Restrict general person-to-person communications","1","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.3 RE1","RE","Prohibit those communications entirely where required","3","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR5","RDF","SR 5.4","SR","Partition applications","1","Zone/conduit diagram, firewall rules, data-diode or segmentation test evidence",,,,,,
"FR6","TRE","SR 6.1","SR","Make audit logs available to authorized analysis","1","Nozomi/SIEM monitoring, log-access tests, alert cases and response metrics",,,,,,
"FR6","TRE","SR 6.1 RE1","RE","Provide programmatic access to audit records","3","Nozomi/SIEM monitoring, log-access tests, alert cases and response metrics",,,,,,
"FR6","TRE","SR 6.2","SR","Continuously monitor security status","2","Nozomi/SIEM monitoring, log-access tests, alert cases and response metrics",,,,,,
"FR7","RA","SR 7.1","SR","Resist denial-of-service conditions","1","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.1 RE1","RE","Manage communication loads","2","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.1 RE2","RE","Contain DoS effects so other systems remain available","3","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.2","SR","Manage resources to preserve essential functions","1","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.3","SR","Back up the control system","1","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.3 RE1","RE","Verify backup integrity and usability","2","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.3 RE2","RE","Automate backup execution","3","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.4","SR","Recover and reconstitute the control system","1","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.5","SR","Provide emergency power","1","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.6","SR","Manage network and security configuration settings","1","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.6 RE1","RE","Report current settings in machine-readable form","3","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.7","SR","Disable unnecessary functions ports protocols and services","1","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
"FR7","RA","SR 7.8","SR","Maintain a current control-system component inventory","2","Capacity tests, backups, restore evidence, UPS tests and component inventory",,,,,,
